// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    920000	      7984	      6613
     10000	    920000	      8687	      5820
    100000	    920000	      9250	      3958
        10	    930000	      8272	      7509
       100	    930000	      8089	      6744
      1000	    930000	      8537	      6842
     10000	    930000	      7495	      6008
    100000	    930000	      9132	      4031
        10	    940000	      8581	      8193
       100	    940000	      7927	      6804
      1000	    940000	      7379	      8329
     10000	    940000	      7665	      6083
    100000	    940000	      8910	      3975
        10	    950000	      9176	      7909
       100	    950000	      7804	      6712
      1000	    950000	      7514	      7114
     10000	    950000	      7755	      6106
    100000	    950000	      9010	      5910
        10	    960000	      8520	      7258
       100	    960000	      7977	      7188
      1000	    960000	      7666	      6731
     10000	    960000	      8675	      6201
    100000	    960000	      9151	      5115
        10	    970000	      8568	      7468
       100	    970000	      9461	      8445
      1000	    970000	      7970	      6888
     10000	    970000	      7681	      7386
    100000	    970000	      9199	      4045
        10	    980000	      8480	      7405
       100	    980000	      7914	      7682
      1000	    980000	      7756	      6995
     10000	    980000	      7894	      6786
    100000	    980000	     10833	      4098
        10	    990000	      8680	      7114
       100	    990000	      8274	      7032
      1000	    990000	      8017	      7063
     10000	    990000	      8504	      6451
    100000	    990000	      9325	      5083
        10	   1000000	      9067	      7121
       100	   1000000	      8565	      9020
      1000	   1000000	      7894	      7173
     10000	   1000000	      8081	      7617
    100000	   1000000	      9458	      4176
